FoutCode;Veroorzaker;Toelichting;XSD-Klasse;Attribuut;tagNaam;Controleregel;Foutmelding;Verklaring;Request for Change;Oplossing
"LEV_1552";"S";"";"";"";"";"LEV_1552 | Rubriek verplicht voor dit modeldocument.";"LEV_1552 | Rubriek verplicht voor dit modeldocument.";"LEV_1552 | Rubriek verplicht voor dit modeldocument.";"";"LEV_1552 | Rubriek verplicht voor dit modeldocument."
"HYP_BLG_1556";"K";"";"";"";"";"Mandelig perceel mag niet zonder hoofdperceel voorkomen.";"Mandelig perceel mag niet zonder hoofdperceel voorkomen.";"Mandelig perceel mag niet zonder hoofdperceel voorkomen.";"";"Mandelig perceel mag niet zonder hoofdperceel voorkomen."
"AAV_E_4012";"S";"";"";"";"";"AAV_E_4012 | Partij  verkrijger  binnen StukdeelVerdelingHuwelijk moet precies één gerechtigde natuurlijk persoon bevatten.";"AAV_E_4012 | Partij  verkrijger  binnen StukdeelVerdelingHuwelijk moet precies één gerechtigde natuurlijk persoon bevatten.";"AAV_E_4012 | Partij  verkrijger  binnen StukdeelVerdelingHuwelijk moet precies één gerechtigde natuurlijk persoon bevatten.";"";"AAV_E_4012 | Partij  verkrijger  binnen StukdeelVerdelingHuwelijk moet precies één gerechtigde natuurlijk persoon bevatten."
"GG362";"S";"";"Ondergetekende staat niet juist in het XML bestand weergegeven.";"";"";"Ondergetekende staat niet juist in het XML bestand weergegeven.";"Ondergetekende staat niet juist in het XML bestand weergegeven.";"Ondergetekende staat niet juist in het XML bestand weergegeven.";"";"Ondergetekende staat niet juist in het XML bestand weergegeven."
"GG363";"K";"";"Het modeldocument met nummer 20151001000015 is op 18-05-2016 (nog) niet geldig.";"";"";"Het modeldocument met nummer 20151001000015 is op 18-05-2016 (nog) niet geldig.";"Het modeldocument met nummer 20151001000015 is op 18-05-2016 (nog) niet geldig.";"Het modeldocument met nummer 20151001000015 is op 18-05-2016 (nog) niet geldig.";"";"Het modeldocument met nummer 20151001000015 is op 18-05-2016 (nog) niet geldig."
"GG364";"S";"";"Tekstvergelijkingsfout. PDF geeft aan: "gebruik van de voor\ bewoning" en XML geeft aan: "gebruik van het\ appartementsrecht"";"";"";"Tekstvergelijkingsfout. PDF geeft aan: "gebruik van de voor\ bewoning" en XML geeft aan: "gebruik van het\ appartementsrecht"";"Tekstvergelijkingsfout. PDF geeft aan: "gebruik van de voor\ bewoning" en XML geeft aan: "gebruik van het\ appartementsrecht"";"Tekstvergelijkingsfout. PDF geeft aan: "gebruik van de voor\ bewoning" en XML geeft aan: "gebruik van het\ appartementsrecht"";"";"Tekstvergelijkingsfout. PDF geeft aan: "gebruik van de voor\ bewoning" en XML geeft aan: "gebruik van het\ appartementsrecht""
"GG365";"K";"";"Onleesbare tekst gevonden";"";"";"Onleesbare tekst gevonden";"Onleesbare tekst gevonden";"Onleesbare tekst gevonden";"";"Onleesbare tekst gevonden"
"GG366";"S";"";"Tekstvergelijkingsfout toegevoegd notaris in het XML en kandidaat-notaris in het PDF in de equivalentieverklaring.";"";"";"Tekstvergelijkingsfout toegevoegd notaris in het XML en kandidaat-notaris in het PDF in de equivalentieverklaring.";"Tekstvergelijkingsfout toegevoegd notaris in het XML en kandidaat-notaris in het PDF in de equivalentieverklaring.";"Tekstvergelijkingsfout toegevoegd notaris in het XML en kandidaat-notaris in het PDF in de equivalentieverklaring.";"";"Tekstvergelijkingsfout toegevoegd notaris in het XML en kandidaat-notaris in het PDF in de equivalentieverklaring."
"GG367";"W";"";"Let op er is een XML-PDF verschil";"";"";"Let op er is een XML-PDF verschil";"Let op er is een XML-PDF verschil";"Let op er is een XML-PDF verschil";"";"Let op er is een XML-PDF verschil"
"GG368";"K";"";"'De besloten vennootschap met beperkte aansprakelijkheid' is niet opgenomen de PDF";"";"";"'De besloten vennootschap met beperkte aansprakelijkheid' is niet opgenomen de PDF";"'De besloten vennootschap met beperkte aansprakelijkheid' is niet opgenomen de PDF";"'De besloten vennootschap met beperkte aansprakelijkheid' is niet opgenomen de PDF";"";"'De besloten vennootschap met beperkte aansprakelijkheid' is niet opgenomen de PDF"
"HYP_FLO_1202";"S";"";"StukdeelHypotheek , vervreemderRechtRef hyp_flo_1202|Waarde 'Schuldenaar' niet toegestaan indien vervreemder partij.";"";"";"StukdeelHypotheek , vervreemderRechtRef hyp_flo_1202|Waarde 'Schuldenaar' niet toegestaan indien vervreemder partij.";"StukdeelHypotheek , vervreemderRechtRef hyp_flo_1202|Waarde 'Schuldenaar' niet toegestaan indien vervreemder partij.";"StukdeelHypotheek , vervreemderRechtRef hyp_flo_1202|Waarde 'Schuldenaar' niet toegestaan indien vervreemder partij.";"";"StukdeelHypotheek , vervreemderRechtRef hyp_flo_1202|Waarde 'Schuldenaar' niet toegestaan indien vervreemder partij."
"063";"A";"";"StukdeelDoorhalingPR_Beperking ,  063|Kadastraal object moet ingevuld zijn als depotnummer niet is ingevuld.";"";"";"StukdeelDoorhalingPR_Beperking ,  063|Kadastraal object moet ingevuld zijn als depotnummer niet is ingevuld.";"StukdeelDoorhalingPR_Beperking ,  063|Kadastraal object moet ingevuld zijn als depotnummer niet is ingevuld.";"StukdeelDoorhalingPR_Beperking ,  063|Kadastraal object moet ingevuld zijn als depotnummer niet is ingevuld.";"";"StukdeelDoorhalingPR_Beperking ,  063|Kadastraal object moet ingevuld zijn als depotnummer niet is ingevuld."
"068";"A";"";"StukdeelDoorhalingPR_Beperking ,  068|Depotnummer moet ingevuld zijn als er geen objecten zijn.";"";"";"StukdeelDoorhalingPR_Beperking ,  068|Depotnummer moet ingevuld zijn als er geen objecten zijn.";"StukdeelDoorhalingPR_Beperking ,  068|Depotnummer moet ingevuld zijn als er geen objecten zijn.";"StukdeelDoorhalingPR_Beperking ,  068|Depotnummer moet ingevuld zijn als er geen objecten zijn.";"";"StukdeelDoorhalingPR_Beperking ,  068|Depotnummer moet ingevuld zijn als er geen objecten zijn."
"GG369";"S";"";"XML-PDF komen niet overeen, "met de daarop in aanbouw" in het PDF en "bestemd voor de bouw" in het XML.";"";"";"XML-PDF komen niet overeen, "met de daarop in aanbouw" in het PDF en "bestemd voor de bouw" in het XML.";"XML-PDF komen niet overeen, "met de daarop in aanbouw" in het PDF en "bestemd voor de bouw" in het XML.";"XML-PDF komen niet overeen, "met de daarop in aanbouw" in het PDF en "bestemd voor de bouw" in het XML.";"";"XML-PDF komen niet overeen, "met de daarop in aanbouw" in het PDF en "bestemd voor de bouw" in het XML."
"LEV_1448";"W";"";"Rubriek niet toegestaan voor dit modeldocument.";"";"";"Rubriek niet toegestaan voor dit modeldocument.";"Rubriek niet toegestaan voor dit modeldocument.";"Rubriek niet toegestaan voor dit modeldocument.";"";"Rubriek niet toegestaan voor dit modeldocument."
"150D";"S";"";"StukdeelHypotheek, 150d recht moet aanwezig zijn.";"";"";"StukdeelHypotheek, 150d recht moet aanwezig zijn.";"StukdeelHypotheek, 150d recht moet aanwezig zijn.";"StukdeelHypotheek, 150d recht moet aanwezig zijn.";"";"StukdeelHypotheek, 150d recht moet aanwezig zijn."
"HYP_ING_1111";"W";"";"";"";"";"Rubriek niet toegestaan voor dit modeldocument.";"Rubriek niet toegestaan voor dit modeldocument.";"Rubriek niet toegestaan voor dit modeldocument.";"";"Rubriek niet toegestaan voor dit modeldocument."
"HYP_RAB_1425";"S";"";"tia_PartnerGegevens niet toegestaan indien k_BurgerlijkeStaatTekst de waarde  x  heeft.";"";"";"tia_PartnerGegevens niet toegestaan indien k_BurgerlijkeStaatTekst de waarde  x  heeft.";"tia_PartnerGegevens niet toegestaan indien k_BurgerlijkeStaatTekst de waarde  x  heeft.";"tia_PartnerGegevens niet toegestaan indien k_BurgerlijkeStaatTekst de waarde  x  heeft.";"";"tia_PartnerGegevens niet toegestaan indien k_BurgerlijkeStaatTekst de waarde  x  heeft."
"HYP_RAB_1448";"W";"";"Rubriek niet toegestaan voor dit modeldocument.";"";"";"Rubriek niet toegestaan voor dit modeldocument.";"Rubriek niet toegestaan voor dit modeldocument.";"Rubriek niet toegestaan voor dit modeldocument.";"";"Rubriek niet toegestaan voor dit modeldocument."
"GG353";"S";"";"Toegevoegd notaris is mogelijk in de nieuwe modellen";"";"";"Toegevoegd notaris is mogelijk in de nieuwe modellen";"Toegevoegd notaris is mogelijk in de nieuwe modellen";"Toegevoegd notaris is mogelijk in de nieuwe modellen";"";"Toegevoegd notaris is mogelijk in de nieuwe modellen"
"GG058";"N";">=5miljo";"";"";"";"Koopprijs groter dan €4.999.999,=";"Koopprijs groter dan €4.999.999,=";"";"";"Koopprijs groter dan €4.999.999,="
"GG059";"K";"BijlAanw";"";"";"";"AA Bijlagen aanwezig";"AA Bijlagen aanwezig";"";"";"AA Bijlagen aanwezig"
"GG060";"N";"BijlMist";"";"";"";"Bijlage notariële verklaring ontbreekt";"Bijlage notariële verklaring ontbreekt";"";"";"Bijlage notariële verklaring ontbreekt"
"GG061";"N";"CRLverm";"";"";"";"AA CRL vermelding";"AA CRL vermelding";"";"";"AA CRL vermelding"
"hyp_mon_023b";"";"";"StukdeelMandeligheid";"";"";"Mag niet aanwezig / ingevuld zijn";"{StukdeelMandeligheid} {vlgnr} {alle} {2800} {Waarschuwing} - Rubriek niet toegestaan voor dit modeldocument";"";"";""
"hyp_mon_024";"";"";"StukdeelDoorhalingHypotheek";"";"";"Mag niet aanwezig / ingevuld zijn";"{StukdeelDoorhalingHypotheek} {vlgnr} {alle} {2800} {Waarschuwing} - Rubriek niet toegestaan voor dit modeldocument";"";"";""
"aav_e_081";"W";"";"StukdeelWijzigingPR_Beperking";"";"";"Mag niet aanwezig / ingevuld zijn";"{StukdeelWijzigingPR_Beperking} {vlgnr} {alle} {2800} {Waarschuwing} - Rubriek niet toegestaan voor dit modeldocument";"";"";""
